"Search questions and answers","Szukaj w pytaniach i odpowiedziach"
"Frequently Asked Questions","Najczęściej zadawane pytania"
"Most Frequently Asked Questions","Najczęściej zadawane pytania"
"There are no FAQ items at the moment.","Brak najczęściej zadawanych pytań."
"Back to the FAQ overview","Back to the FAQ overview"
"The requested FAQ item could not be found!","The requested FAQ item could not be found!"
"Error","Błąd"
"The requested FAQ Category item could not be found!","The requested FAQ Category item could not be found!"
"Search Result For : ""%s""","Wynik wyszukiwania dla : ""%s"""
"There is no FAQ item found for search string!","Nie znaleźliśmy wyniku pasującego do zapytania!"
"Please read the following help topics, or use","Zapoznaj się z poniższymi tematami pomocy lub skorzystaj ze"
" the Contact Us page"," strony Kontakt"
"Faq Item is not active","Faq Item is not active"
"Catagory is not active","Catagory is not active"
"Please Select Category", "Please Select Category"
"Manage Items","Zarządzanie pytaniami"
"Add New FAQ Item","Dodaj pytanie"
"Store View","Widok sklepu"
"Manage FAQ Items","Zarządzaj pytaniami"
"Answers to frequently asked questions","Odpowiedzi na najczęściej zadawane pytania"
"Search Result For - ""%s"" from category ""%s""","Wyniki wyszukiwania dla - ""%s"" w kategorii ""%s"""
"Search Result For : ""%s""","Wyniki wyszukiwania dla : ""%s"""
