"Payout Type", "Typ wypłaty"
"Rejestracja nowego sklepu","Rejestracja nowego sklepu"
"Podstawowy email do zarządzania kontem (służy jako login)","Podstawowy email do zarządzania kontem (służy jako login)"
"Przedstawiciel sklepu (imię i nazwisko)","Przedstawiciel sklepu (imię i nazwisko)"
"Handling Type","Rodzaj obsługi"
"Allowed Countries","Dozwolone kraje"
"Limit to zipcodes","Ograniczyć do kodów pocztowych"
"URL key","klucz URL"
"Initial Vendor Order (Shipment) Status","Początkowy status zamówienia (PO)"
"Default shipment sort by in vendor interface","Domyślne sortowanie przesyłek w interfejsie vendora"
"Default PO sort by in vendor interface","Domyślne sortowanie PO w interfejsie vendora"
"Initial Customer Shipment Status","Początkowy status przesyłki klienta"
"Advanced Handling Rule","Reguła specjalnej obsługi"
"Advanced Handling Config","Konfiguracja specjalnej obsługi"
"Simple Handling Fee (fallback for advanced)","Proste opłatę manipulacyjną (Przenieś do zaawansowanego)"
"Handling Action","Wózki Akcja"
"Logo Image","Logo"
"Default shipment status filter in vendor interface","Filtr domyślny stan przesyłki w interfejsie dostawcy"
"Default shipment sort direction in vendor interface","Domyślny kierunek sortowania w interfejsie wysyłka imie"
"Hide shipping amount in packingslip","Ukryj ilość w opakowaniu przesyłki poślizgu"
"Attach Packing Slip to Notifications","Dołączyć list przewozowy do powiadomień"
"Stock Check Method","Sprawdź Zdjęcie Metoda"
"Attach Shipping Label to Notifications","Dołącz etykietę wysyłki na Powiadomienia"
"Notify on low stock qty","Powiadom o niskim Ilość stanie"
"New Order Carbon Copy Emails","New Order Carbon Copy Emails"
"New Order Notification Method","Nowa Zamówienie metoda Zawiadomienie "
"Low stock qty","Niskie stany magazynowe"
"Use Vendor specific custom text on the bottom of packing slip","Użyj tekstu wprowadzonego przez sprzedawcę na dole listy pakowania"
"Vendor specific custom text on the bottom of packing slip","Tekst sprzedawcy do umieszczenia na dole listy pakowania"
"Show totals in vendor portal order view","Pokaż sumy w widoku zamówień Portal dostawcy"
"Choose File","Wybierz Plik"
"Initial Virtual PO Status","Stan początkowy wirtualnych PO"
"Hide shipping amount in po pdf","Ukryj koszt wysyłki w wydruku PDF dla PO"
"Use Vendor specific custom text on the bottom of purchase order PDF","Użyj tekstu wprowadzonego przez sprzedawcę na dole wydruku PDF dla PO"
"Vendor specific custom text on the bottom of purchase order PDF","Tekst sprzedawcy do umieszczenia na dole wydruku PDF dla PO"
"Default Shipping Method Pattern","Domyślny szablko wysyłki"
"External id (Converters)","Id zewnętrzny (Konwertery)"
"Initial PO Status","Stan początkowy PO"
"Default PO status filter in vendor interface","Domyślnie filtr stanu PO interfejs dostawcy"
"Use FedEx account for Returns","Użyj konta FedEx dla zwrotów"
"Use Endicia account for Returns","Użyj konto Endicia dla Zwroty"
"Use UPS account for Returns","Użyj konto UPS dla Zwroty"
"Inventory Qty for Item's Status to Become Out of Stock","Ilość asortyment dla elementu statusu, aby stać Wyczerpany"
"Inventory Backorders","Zaległości Zapasy"
"Use custom value for global ""Inventory Qty for Item's Status to Become Out of Stock""","Użyj wartości celnej dla globalnej ""Inventory Ilość dla elementu statusu do Zostań Wyczerpany"""
"Use custom value for global ""Inventory Minimum Qty Allowed in Shopping Cart""","Użyj niestandardowego wartość globalna ""Dozwolone Inventory Minimalna Ilość w koszyku"""
"Inventory Minimum Qty Allowed in Shopping Cart","Inwentaryzacja Minimalna Ilość dozwolone w koszyku"
"Inventory Maximum Qty Allowed in Shopping Cart","Inwentaryzacja Maksymalna Ilość dozwolone w koszyku"
"Use custom value for global ""Inventory Maximum Qty Allowed in Shopping Cart""","Użyj wartości celnej dla globalnej ""Inwentaryzacja Maksymalna Ilość dozwolone w koszyku"""
"Use custom value for global ""Inventory Backorders""","Użyj wartości celnej na światowych ""Inventory Zaległości"""
"Use custom value for global ""Allowed types of product""","Użyj wartości celnej dla globalnych ""dozwolone rodzaje produktu"""
"Use custom value for global ""Inventory Manage Stock""","Użyj wartości celnej dla globalnej ""Wykazie Zarządzaj ręki"""
"Allowed types of product","Dozwolone rodzaje produktu"
"Inventory Manage Stock","Magazyn Zarządzanie zapasami"
"Unpublish vendor product on following changes","Nie publikuj Produkt sprzedawca na następujących zmian"
"Use custom value for global ""Unpublish vendor product on following changes""","Użyj wartości celnej dla produktu globalnego ""Anuluj publikację imie na następujących zmian"""
"Statement","Oświadczenie"
"* Default (global setting)","* Domyślnie (ustawienie globalne)"
"Statement calculation based on ","Obliczenia oparte na oświadczenie"
"Include shipping tax in shipping amount","Obejmować podatku w kwocie wysyłki wysyłka"
"Statement on following shipment statuses","Oświadczenie o następujących statusów przesyłki"
"Statement subtotal calculation based on","Oświadczenie Razem obliczenia oparte na"
"Statement subtotal calculation based on ","Oświadczenie Razem obliczenia oparte na"
"Shipping In Payout","Dostawa W Wypłata"
"Tax In Payout","Wypłata w podatku"
"Apply commission on Tax","Zastosuj prowizję od podatku"
"Discount In Payout","Zniżkami w Wypłata"
"Include","Zawierać"
"Exclude but Show","Wyklucza jednak Pokaż"
"Exclude and Hide","Wykluczenie i Ukryj"
