"New E-Goi Customers","New E-Goi Customers"
"Your APi Key","Your APi Key"
"To get your API Key, login into your E-goi.com panel, go to your user menu (upper right corner), select ""Integrations"" and copy the account API key.","To get your API Key, login into your E-goi.com panel, go to your user menu (upper right corner), select ""Integrations"" and copy the account API key."
"Language","Language"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Username","Username"
"Password","Password"
"Telephone Prefix","Telephone Prefix"
"Telephone Number","Telephone Number"
"Company","Company"
"City","City"
"Country","Country"
"I agree with E-Goi terms and conditions","I agree with E-Goi terms and conditions"
"<a href=""http://bo.e-goi.com/termos_uso_en.php"" target=""_blank"" >Click here to read them</a>","<a href=""http://bo.e-goi.com/termos_uso_en.php"" target=""_blank"" >Click here to read them</a>"
"E-Goi Integration","E-Goi Integration"
"Setup","Setup"
"Welcome","Welcome"
"Information Channel","Information Channel"
"Bug Report","Bug Report"
"Request","Request"
"Other Information","Other Information"
"Contact Reason","Contact Reason"
"Message","Message"
"Please be as descriptive as possible","Please be as descriptive as possible"
"Phone","Phone"
"Also include your country prefix","Also include your country prefix"
"Attach log file","Attach log file"
"No","No"
"Yes","Yes"
"This option will send the calls log made between Magento and E-Goi","This option will send the calls log made between Magento and E-Goi"
"Information","Information"
"Create New List","Create New List"
"Existing Stores","Existing Stores"
"Store View","Store View"
"Map Existing E-Goi Lists to your Magento Store Views","Map Existing E-Goi Lists to your Magento Store Views"
"Account Details","Account Details"
"Content","Content"
"Name","Name"
"Sender","Sender"
"Subject","Subject"
"160 characters limit. [<span id=""charsLeft"">160</span> left]","160 characters limit. [<span id=""charsLeft"">160</span> left]"
"Lists","Lists"
"Please Select","Please Select"
"Segment","Segment"
"Only apply if in the choosen segment","Only apply if in the choosen segment"
"Active From Date","Active From Date"
"Active To Date","Active To Date"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"fidelitas","fidelitas"
"Template Body","Template Body"
"Settings","Settings"
"Event Trigger","Event Trigger"
"Campaign","Campaign"
"No links detected in selected campaign","No links detected in selected campaign"
"Link","Link"
"Product ID","Product ID"
"Go to Product Listing","Go to Product Listing"
"When triggered","When triggered"
"After...","After..."
"Send Moment","Send Moment"
"After Hours","After Hours"
"After Days...","After Days..."
"Send Only Once?","Send Only Once?"
"Every Time Occurs","Every Time Occurs"
"To the same subscriber","To the same subscriber"
"New Status","New Status"
"Search Value","Search Value"
"Separate multiple values by comma ,","Separate multiple values by comma ,"
"Query String Match","Query String Match"
"Equal","Equal"
"Contains","Contains"
"Autoresponders Information","Autoresponders Information"
"Save and Continue Edit","Save and Continue Edit"
"Edit Autoresponder","Edit Autoresponder"
"Add Autoresponder","Add Autoresponder"
"ID","ID"
"Channel","Channel"
"SMS","SMS"
"Event","Event"
"N. Subscribers","N. Subscribers"
"Is Active?","Is Active?"
"From Date","From Date"
"To Date","To Date"
"Autoresponders","Autoresponders"
"New Email Autoresponder","New Email Autoresponder"
"New SMS Autoresponder","New SMS Autoresponder"
"No campaigns have been sent yet.","No campaigns have been sent yet."
"Campaign Name","Campaign Name"
"Deploy Started","Deploy Started"
"-Not deployed yet-","-Not deployed yet-"
"Deploy Ended","Deploy Ended"
"Conversions","Conversions"
"Conv. Amount","Conv. Amount"
