"Invalid subscription ID.","Nieprawidłowe ID listy mailingowej"
"Invalid newsletter invitation code.","Nieprawidłowy kod potwierdzenia zaproszenia."
"You have been successfully subscribed to our newsletter.","Pomyślnie zapisano do newslettera."
"Some newsletter error occurred","Wystąpił błąd newslettera"
"Your subscribtion has been saved.<br />To start receiving our newsletter you have to confirm your e-mail by clicking confirmation link in e-mail that we have just sent to you.<br />Newsletter setting in your account will be changed after e-mail confirmation.","Zostałeś zapisany do listy mailingowej.<br />Żeby zacząć otrzymywać nasz newsletter musisz jeszcze potwierdzić swój adres e-mail klikając w link, który właśnie do Ciebie wysłaliśmy.<br />Ustawienie w koncie zostanie aktualizowane po potwierdzeniu adresu e-mail."
"The subscription has been saved.","Zostałeś zapisany do listy mailingowej."
"The subscription has been removed.","Zostałeś wypisany z listy mailingowej."
"Thank you for subscribing to our mailing list. In order to get our newslettaer and receive coupon codes you have to confirm your e-mail.<br />Confirm your e-mail by clicking link in message that we have just sent to you.<br />Newsletter setting in your account will be changed after e-mail confirmation. You will also get your coupon codes.","Dziękujemy za zapisanie się do listy mailingowej. Żeby otrzymać nasz newsletter i odebrać kupony musisz jeszcze potwierdzić swój adres e-mail.<br />Potwierdź adres e-mail klikając w link, który właśnie do Ciebie wysłaliśmy.<br />Ustawienie w koncie zostanie zaktualizowane po potwierdzeniu adresu e-mail. Otrzymasz też swoje startowe kupony rabatowe."
"The subscription has been removed.","Subskrypcja została cofnięta."
"The subscription has been saved.","Subskrypcja została zapisana."
"An error occurred while saving your subscription.","Wystąpił problem z subskrypcją."
"Settings has been saved","Ustawienia zostały zapisane"
"Your subscription has been confirmed.","Twój adres email został dodany do newslettera"
"Sign up for the newsletter and get updated on what's new:","Zapisz się i otrzymuj jako pierwszy informacje o naszych nowościach i promocjach:"
"Sign up for our newsletter","Zapisz się do newslettera"
"Sign Up","Zapisz"
"Enter your email","Wpisz swój e-mail"
"There was a problem with the subscription.","Wystąpił problem z subskrypcją."
"Thank you for your subscription.","Subskrypcja została zapisana."
